event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-009,0.5944958119480698,0.5838032254466304,0.6062390738063388,0.5243068491971051,0.500296613684407,0.5517989452238437
CrisisFACTS-010,0.5397375226020813,0.5372185475296445,0.5428161797700105,0.5075077348285251,0.48013112169724925,0.5384173349097923
CrisisFACTS-011,0.584928779690354,0.5842972949699119,0.5856975140394988,,,
CrisisFACTS-012,0.5417604424335338,0.5370358758502536,0.5467083575548949,,,
CrisisFACTS-013,0.6086270566339846,0.609467124497449,0.6080218663922062,0.5076530321880623,0.4749550521373749,0.5454533055976585
CrisisFACTS-014,0.6521245086634601,0.6584827281810619,0.6463503064932646,0.497006070834619,0.4953494977068018,0.49888885021209717
CrisisFACTS-015,0.5915144439096804,0.5902188199537771,0.5933276746008131,0.5357228208471227,0.4977542923556434,0.5804402717837581
CrisisFACTS-016,0.5889533758163452,0.5870738426844279,0.5914793169056928,0.4982766531131886,0.4844006454503095,0.5131713714864519
CrisisFACTS-017,0.5767407086160448,0.5717907636253922,0.581962991643835,0.5001040332847171,0.45214916710500364,0.559761106967926
CrisisFACTS-018,0.6161658189914845,0.619042451734896,0.6136227272174977,0.5189311018696537,0.469753529186602,0.580060601234436
